seed,status,wall_s,success_func,success_strict,done,upright,box_held,dist,com_rmse_mm,ee_rmse_mm,ee_pic_mm,grf_pic,ctrl_mean,ctrl_p99
0,ok,129.9748637676239,False,False,False,False,True,1.8562412467189147,59.83081954249307,71.48432822891805,470.7502699421109,5187.181197614225,2.7027666528998493,3.673289977596138
1,ok,134.16805982589722,True,False,True,True,True,3.05292367908378,34.97163290332672,54.449670822665894,71.55368831078664,7027.058247744718,1.5888818691338225,4.126501028076745
2,ok,15.468733787536621,False,False,False,False,False,-0.14214241083494972,191.88003861704019,316.24576268312904,883.3085642937177,7127.4450960848535,3.589835348475137,9.908306022989567
3,ok,12.755975723266602,False,False,False,False,True,-0.5569898046393963,240.17291639783232,295.56311641135954,403.28277432411767,6691.400070482035,5.421836202690652,15.423430001828836
4,ok,12.380787134170532,False,False,False,False,False,-0.5404329232544063,290.42439502533256,452.20759631419753,914.7607162006818,12068.121814108774,4.119088414546504,9.090471984818581
5,ok,9.093487977981567,False,False,False,False,True,-0.4148273717485543,141.77461901917349,154.64162163999205,572.2994087680511,7424.480395137059,2.4952266668093372,6.381918035913257
6,ok,111.33384966850281,False,False,False,False,True,2.4803816798791725,56.27870002578153,62.765021304500635,510.59863900883505,26811.339314533598,1.850264900924971,5.400403026724232
7,ok,13.4603750705719,False,False,False,False,False,-0.5236437717288087,192.67130674759943,305.47323692970184,864.9271993151824,5492.465611142436,3.1064151453547204,7.116972035728385
8,ok,11.869716882705688,False,False,False,False,False,-0.3286428938106899,249.69066569963994,315.97406317815944,741.28079293342,6079.8291547935905,3.986745710564386,9.981046953471402
9,ok,164.42861986160278,True,False,True,True,True,3.058076555414094,35.389182471393475,54.584368816848475,95.51410445171007,3410.442449829029,1.9324882424189067,5.187672032043344
10,ok,131.60892629623413,True,False,True,True,True,3.050729438118095,35.04368082086405,54.36830443692444,70.5786150283854,5734.6046249172105,1.551334419300547,3.954439959488794
11,ok,50.78178286552429,False,False,False,False,True,0.5016427539427446,76.09307037221315,80.68106365980323,410.50304927878506,7130.211078592487,1.651871574871046,4.55817698675673
12,ok,7.606547117233276,False,False,False,False,True,-0.46929051236663966,228.62963227567224,420.62027115768717,902.9856783403166,5667.551001401895,3.6393992269992306,8.583739981986584
13,ok,42.99114441871643,False,False,False,False,False,0.3431996314985186,81.2982761330823,132.26291670960197,900.6936698832375,6304.245677501237,1.7311153529580043,4.887415011762641
14,ok,71.00639343261719,False,False,False,False,True,1.2346130241448317,46.018395103778516,60.69507109239591,442.96181664603876,15216.606259580918,1.683529388089204,4.621569992741576
15,ok,6.7090349197387695,False,False,False,False,False,-0.5325957421176203,246.05463902074604,537.3029168245146,912.5670996832475,6654.972424615664,3.336330107018108,7.3954299732576985
16,ok,147.1434202194214,True,False,True,True,True,3.0532104782663056,34.98122616322659,54.358316223061195,72.08555895731202,4224.050336992721,1.7525013788502302,5.385689972899852
17,ok,13.719625234603882,False,False,False,False,False,-0.6643593809583521,224.3218675314968,381.7570001402693,880.6756160901436,5850.582432725692,3.646701863176873,9.13908100337721
18,ok,9.533912658691406,False,False,False,False,False,-0.5668090972612897,239.83193926345012,406.4220391883515,772.7670918126908,6639.479237368018,3.9112091547468975,9.039803970372304
19,ok,48.292240142822266,False,False,False,False,True,0.3836096269992566,77.80968204067725,107.94142370323627,822.5932300265434,6836.451381670059,1.9711105376818647,5.207080009859055
20,ok,12.047738552093506,False,False,False,False,True,-0.16260167184440266,72.51577966239927,112.5620843595143,405.6892891229167,8946.464560407281,2.0897893746666867,5.2162039867835075
21,ok,51.4872350692749,False,False,False,False,True,0.3907432425857519,71.57274411850591,93.76547368214243,847.0998467245224,5720.451958687652,2.1050087971329843,5.455823005759165
22,ok,8.601146697998047,False,False,False,False,False,-0.44967234242743226,225.08505169941654,544.2631743689781,901.7533682915356,7021.475557807405,4.215212973329721,9.447564973961562
23,ok,169.9906566143036,False,False,False,False,False,2.4705996518318214,54.40321231768787,77.32486062596985,738.4034110227359,5853.2972095430705,2.130494738460761,7.009173999540506
24,ok,151.91673016548157,True,False,True,True,True,3.052596684753378,35.06713181954787,54.36179287467181,71.82567385522457,4265.34142954046,1.7912590448966699,4.586794002680087
25,ok,8.056227207183838,False,False,False,False,False,-0.510512997775307,239.89505439564024,492.71509174212594,874.0084967778024,4148.624523707715,3.8355064938903483,7.927548012230544
26,ok,10.272366285324097,False,False,False,False,False,-0.6082094243773535,245.8425492211115,487.11904190821326,858.0957007685984,5004.965286692348,4.0499760190022736,9.485059971921135
27,ok,189.16994857788086,True,False,True,True,True,3.058782529936904,34.97944154420126,54.348286992957256,70.67729404488703,4038.1645827959046,2.2395571271827324,6.720176006201655
28,ok,13.664541482925415,False,False,False,False,False,-0.7316200504592164,221.498530165836,410.4897374146442,948.4239661425004,4740.744834558359,3.596084844705545,5.589568017167045
29,ok,112.80934143066406,False,False,False,False,True,2.494036654593219,55.64398533147905,84.52338870520806,880.7379554924008,6892.23541115645,1.4533892443633527,3.30623497138731
