seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99,e_mech,e_sq,cot
0,ok,104.00322890281677,True,3.1417870530112926,-1.0,50.287552733242585,0.3182142857143541,57.90057098906164,4657.75202684636,3.657142857142857,3.589747022323146,9.361094975611195,5829.519726247865,545684.1053785555,2.012076234840466
1,ok,36.72312521934509,True,3.3434815029567564,-1.0,53.64712031597697,0.33195714285722805,53.03122236434852,4910.384539218879,3.242857142857143,1.1939702720125476,2.5541210069786735,6081.524553712283,570184.2985193623,1.9724315496331828
2,ok,38.34314274787903,True,3.164808682687775,-1.0,57.17747375528417,0.3315285714286561,48.76908065180263,4070.384534700436,3.442857142857143,1.2508852258463143,2.619346979772672,5834.581059536054,614923.8321957447,1.9991741032308272
3,ok,14.572911739349365,False,1.3156912587068035,9.59700000000012,125.45948859981776,0.3321851851851933,77.40459705536105,3782.174612054325,2.925925925925926,1.263336209063839,2.627508039586246,2510.6605812642188,245982.00788415017,2.0692950346716796
4,ok,35.147274017333984,False,3.1318143599073007,23.73100000000602,91.07477784430195,0.31342857142863395,62.50108702987899,5420.553560455282,3.5,1.2611912223586579,2.811639988794923,5427.961589061614,566077.8029964876,1.879442985687676
5,ok,37.025267124176025,True,3.5388174915130253,-1.0,53.557258281802895,0.3251571428572197,47.270410496885326,4229.26119883789,3.1857142857142855,1.2227909521866918,2.7366480039199823,5456.656546864272,568976.5942252905,1.6720792406654919
6,ok,35.11776375770569,False,3.533357369049831,23.807000000006113,92.10338111705741,0.3236142857143607,50.30631669005869,4285.793504671199,3.414285714285714,1.2527888269500802,2.673946042777969,5596.2207387370645,586796.5589730848,1.7174957565273559
7,ok,36.48932099342346,True,3.4607220780126267,-1.0,54.48481601788954,0.3285571428572238,47.561054196032266,4065.4585124525893,3.142857142857143,1.195165212405239,2.6359749899711455,5128.743275853301,578865.083653221,1.6070620219568164
8,ok,39.79285383224487,True,3.829851956838405,-1.0,59.04731603864172,0.34577142857153065,50.3426113497483,4070.612946621519,3.257142857142857,1.2522425141102786,2.675400028238073,5693.142163898064,625133.8681682023,1.6119755234753812
9,ok,36.287466526031494,True,3.3155074964936864,-1.0,52.17668323669964,0.32458571428579047,52.848188028069316,4581.221272602845,3.257142857142857,1.2034188405317197,2.480763030471278,5402.120795118747,553500.8804007174,1.766862192871984
10,ok,38.279783487319946,True,3.3384665870290533,-1.0,57.24136028936396,0.3316428571429419,59.572323864273365,4993.800670336627,3.2142857142857144,1.2472558253129225,2.531840011943128,5558.341536500492,597035.6148905879,1.805454698555415
11,ok,38.91379380226135,True,3.6599531401039513,-1.0,57.21399840526558,0.3415571428572397,49.192620810959596,4488.4655496342275,3.2142857142857144,1.2308960752237434,2.6741220208350565,5237.647897594561,602818.5469612533,1.5518479809010581
12,ok,39.78231906890869,True,3.625219087126479,-1.0,54.53899783385987,0.3360428571429473,48.9857312305354,4027.5747545910926,3.414285714285714,1.2800589118821002,2.664362031500787,5533.062655045801,590238.4645192302,1.6550828218109428
13,ok,35.4714469909668,True,3.3754515286618787,-1.0,51.96220144765917,0.3242857142857901,47.98573229097012,4089.6112759565485,3.7,1.1754159825922381,2.521040050778539,5221.62488041243,579638.1799146623,1.677498707084517
14,ok,34.870994091033936,True,3.358860415654295,-1.0,55.8619748916024,0.3299000000000827,52.37485387810887,4182.129781741284,3.9714285714285715,1.1403517376283947,2.3915400495752657,5904.333732675968,590729.657983492,1.906195070226099
15,ok,13.409048318862915,False,0.6597547242722587,9.421000000000218,140.93154650737827,0.32951851851852815,48.27490638566961,4070.2306840697925,4.230769230769231,1.1852857340660063,2.5126199470832904,1899.803148333955,232003.6692452898,3.1225866259445594
16,ok,33.995644330978394,True,3.2183309680154766,-1.0,47.636655680515965,0.32838571428579505,50.77621701630992,3881.2120710804143,3.142857142857143,1.1134337979233695,2.3703350045252582,5755.853269489723,573713.0325786358,1.9394000879360973
17,ok,33.06793236732483,True,3.3283518572869597,-1.0,48.62186691604519,0.31314285714291934,50.17235839954084,5138.327891763021,3.5142857142857142,1.1276680781616597,2.383010061457753,5218.743085705588,551502.4436452289,1.7002981678631375
18,ok,20.683338403701782,False,1.1377532136502935,13.948999999997708,122.64307820716846,0.34736842105257565,45.724304110588236,4069.3986882588115,3.263157894736842,1.2518581606033612,2.7512519946321845,2930.5473921515977,346372.40996901796,2.793116685431147
