mag,dir,seed,status,wall_s,applied,eligible,recovered,xi_max_post,t_reband,n_recov_post,dist,fell_at,success
0.0,+x,0,ok,47.335688829422,True,True,True,0.25419242753997523,1.6520000000000001,19.0,3.1417870530112926,-1.0,True
0.0,+x,1,ok,59.11918115615845,True,True,True,0.2101315720236102,1.262,13.0,3.4568943113239197,-1.0,True
0.0,+x,2,ok,52.01832103729248,True,True,True,0.29440324705443865,0.0,11.0,3.765533763605227,-1.0,True
0.0,+x,3,ok,18.442689180374146,True,True,False,0.9363335438057382,0.0,10.0,1.336247346464021,9.648000000000092,False
0.0,+x,4,ok,34.430877685546875,True,True,True,0.24722429330344364,0.0,12.0,2.6981845038463437,18.310999999999396,False
0.0,+x,5,ok,46.920827865600586,True,True,True,0.1950352597049588,1.2670000000000001,15.0,3.421538003040805,-1.0,True
0.0,+x,6,ok,48.03092312812805,True,True,True,0.23126327233624705,0.483,14.0,3.365426952476453,-1.0,True
0.0,+x,7,ok,22.726632118225098,True,True,True,0.18426590187247563,0.0,5.0,1.5317369693645198,10.76999999999947,False
0.0,+x,8,ok,48.971391439437866,True,True,True,0.276519384621054,1.121,18.0,3.4919295307272287,24.306000000006723,False
0.0,+x,9,ok,47.61798691749573,True,True,True,0.20466807295113154,0.225,14.0,3.3155074964936864,-1.0,True
100.0,+x,0,ok,47.09423780441284,True,True,True,0.16401930361663591,0.365,15.0,3.617561055158176,-1.0,True
100.0,+x,1,ok,46.6751389503479,True,True,True,0.39804511074300347,3.766,14.0,3.3581639800285616,-1.0,True
100.0,+x,2,ok,49.03198432922363,True,True,True,0.24841149635122672,0.0,14.0,3.5290521021584733,-1.0,True
100.0,+x,3,ok,22.92033863067627,True,True,True,0.209271032026617,0.0,11.0,1.6054579991020634,12.107999999998729,False
100.0,+x,4,ok,4254.867830753326,True,True,True,0.19198427063090273,0.46900000000000003,20.0,3.246232713811816,-1.0,True
100.0,+x,5,ok,34.913936614990234,True,True,True,0.2572859021591827,1.098,16.0,3.457326353924962,19.671000000001058,False
100.0,+x,6,ok,64.95568227767944,True,True,True,0.19885428449211018,0.0,15.0,3.516033757835533,-1.0,True
100.0,+x,7,ok,29.523491382598877,True,True,True,0.2738007608349573,1.969,13.0,1.7678023254884077,12.211999999998671,False
100.0,+x,8,ok,29.13656783103943,True,True,True,0.21510167507623265,1.623,13.0,1.8283021037789193,13.54899999999793,False
100.0,+x,9,ok,57.53035497665405,True,True,True,0.2856409163050084,0.252,12.0,3.308034496597221,-1.0,True
150.0,+x,0,ok,59.540425539016724,True,True,True,0.2548106140367411,3.7920000000000003,16.0,3.377974311649404,-1.0,True
150.0,+x,1,ok,70.60168504714966,True,True,True,0.2490570184449764,1.34,14.0,3.486351507871383,-1.0,True
150.0,+x,2,ok,55.57145953178406,True,True,True,0.37387780692422745,0.404,12.0,3.6382790910640876,-1.0,True
150.0,+x,3,ok,55.880215644836426,True,True,True,0.21433456632841966,0.0,15.0,3.4649755565974254,-1.0,True
150.0,+x,4,ok,53.15257406234741,True,True,True,0.1620946121055016,0.0,15.0,2.905007815135236,-1.0,False
150.0,+x,5,ok,17.068533182144165,True,True,False,0.9854855977327152,0.0,2.0,0.37419240846434587,7.519000000000846,False
150.0,+x,6,ok,59.37670588493347,True,True,True,0.1994599131477899,0.0,15.0,3.424667975018473,-1.0,True
150.0,+x,7,ok,54.885690450668335,True,True,True,0.23684716907730852,1.502,15.0,3.520901454298297,-1.0,True
150.0,+x,8,ok,17.447009086608887,True,True,False,1.056823268254884,0.0,2.0,0.38137570320265296,8.050000000000978,False
