seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99
0,ok,95.63971376419067,False,2.388747285265823,-1.0,63.66869599639954,0.3548857142858275,40.482386492147405,4085.734418569785,3.3857142857142857,2.9537299469975937,9.28055599564686
1,ok,60.79608774185181,False,1.5334729612276574,16.57899999999728,104.50842663036708,0.3127058823528834,63.796836369028696,3925.7200298968014,3.176470588235294,3.10610341389883,12.19854398048487
2,ok,135.42170190811157,False,2.22226137031407,-1.0,60.9719861802837,0.3442714285715288,51.69063791728125,4696.771721265918,3.4,4.329608256184591,10.006285025156101
3,ok,23.001165866851807,False,0.2732301965326356,5.326000000000113,170.0548013890368,0.28329411764706425,78.1447215756463,7534.893066233158,3.9375,3.6564155838936125,9.823800006415695
4,ok,133.334819316864,False,2.147866847443795,-1.0,55.42150557154321,0.3287428571429384,50.339603137997614,4234.218579501245,2.8857142857142857,4.42000158695364,11.815366012742722
5,ok,124.79219698905945,False,2.5152237040756953,21.345000000003104,95.43594003161827,0.29452857142861083,52.536406458916794,4767.296949486776,2.5428571428571427,5.0179411010966355,11.150300004519533
6,ok,154.15754008293152,False,1.733348272943808,25.699000000008425,80.93906467229606,0.3302428571429402,55.901689389248695,4018.206433735679,3.5714285714285716,5.211045079386615,12.415056003956126
7,ok,151.75500416755676,False,2.3985271328945914,-1.0,59.8559341585396,0.36185714285726456,48.93753109194242,3922.1601844162074,2.742857142857143,4.6205995828585005,10.030448008328666
8,ok,41.38983106613159,False,0.06513116144696843,8.64000000000065,171.15696671453156,0.297740740740768,47.89661054885039,5296.111927840222,3.888888888888889,4.105281736169504,9.967793006799196
9,ok,58.4434278011322,False,1.0849538366048843,11.249999999999204,128.0900886919499,0.3129411764705675,61.15662229827666,4088.731412767897,3.411764705882353,4.442906906486799,10.21725500409957
10,ok,146.5702223777771,False,1.939658884369688,-1.0,52.94366114960574,0.3320000000000852,53.65133912740275,4327.13550569947,2.9714285714285715,4.8136881509946114,12.578402002109197
11,ok,145.79721212387085,False,2.198410515724044,-1.0,53.09024148613429,0.34864285714296267,47.82955753972368,3940.745931683242,3.4571428571428573,4.601756659702809,10.489950014743954
12,ok,140.8767545223236,False,2.3992217782030885,-1.0,55.173498019777014,0.32884285714293854,49.67129373007819,4517.881795140364,3.5428571428571427,4.695248405575362,11.238404951291159
13,ok,151.74461364746094,False,2.5457873530020616,-1.0,58.712307549433596,0.3393285714286656,47.55406808293958,3955.016287258172,3.5,4.878078692968523,10.827459022984831
14,ok,153.42837071418762,False,2.464382125768077,-1.0,69.29771859006318,0.3525000000001103,53.39588052610925,4330.687159933615,3.2285714285714286,4.777157296472633,10.953549994155761
15,ok,42.34004545211792,False,0.7900132007368165,8.474000000000743,133.908556231997,0.2824285714286003,38.68239450537515,3930.5632217397283,3.5357142857142856,4.262627861359774,10.636066005681643
16,ok,89.77261734008789,False,1.4346842636693649,16.665999999997386,123.34016016840835,0.30982692307687026,43.38238949895,4297.8166056615755,2.826923076923077,4.6329433156552255,10.135854996042324
17,ok,146.16480159759521,False,2.016085863411858,-1.0,55.79568804635942,0.3196714285714988,58.93222424138003,4019.2663598979607,2.9714285714285715,4.9959977809530995,10.977769017335962
18,ok,147.84377717971802,False,2.2411626416126356,-1.0,54.665321286867496,0.34861428571439124,45.855885713909096,3952.656716205859,3.1142857142857143,4.646859970984477,9.666109998361206
19,ok,147.8868534564972,False,2.6316157868076986,-1.0,56.54723682045107,0.34728571428581817,64.2131952702154,4245.229875221424,3.7714285714285714,4.68362116507036,10.481375975068659
20,ok,40.357683181762695,False,0.6769202828075674,8.288000000000846,136.15955133003456,0.28214814814818406,44.42695392122589,4041.637548225392,3.037037037037037,4.174542604092093,10.315145007334644
21,ok,147.74279880523682,False,1.7492714905509064,26.116000000008935,82.00595557444065,0.3426428571429554,44.778433402545005,4153.646423927994,2.6857142857142855,4.919964676849534,10.459665016969662
22,ok,56.39146709442139,False,0.9111469534931774,9.648000000000092,141.86583671228513,0.28359375000000503,68.08327757192421,5698.092206591021,4.09375,4.98362738389417,20.056203980930153
23,ok,151.87960362434387,False,2.5510885425999184,-1.0,57.438713115018984,0.3466142857143888,54.36143201630692,4104.050944839079,3.142857142857143,4.8063093936468695,10.753737986087799
24,ok,20.03428053855896,False,0.37200129039969465,4.673999999999896,184.08278864957174,0.256749999999991,42.441499144475166,3916.3796273260723,3.0,3.5836092214163626,11.637893972801951
25,ok,146.04785060882568,False,2.394316599748982,-1.0,60.14550494006825,0.34807142857153345,48.62993594034331,3978.9545064482763,3.0,4.598939004738309,10.620020022033708
26,ok,118.91291904449463,False,2.258620504085528,-1.0,51.26907135100146,0.32075714285721435,41.97035719795489,4417.676798849499,3.3857142857142857,4.0630762796806845,9.180123994592574
27,ok,134.33179593086243,False,2.4847663140292893,-1.0,58.879231003919614,0.3530285714286824,49.67746519896378,5808.35142628836,3.0285714285714285,4.216257977499604,9.132054011570283
28,ok,143.2956805229187,False,2.069583301006684,-1.0,53.22679478301025,0.33665714285723375,53.78710308787078,3977.4398098109423,2.914285714285714,4.657672802035251,10.454627985600386
29,ok,153.57170987129211,False,2.398334769013264,-1.0,57.00374354590786,0.35577142857154287,49.292956145211484,3924.7736247972584,3.2142857142857144,4.790749998256445,10.083400004077703
30,ok,144.20180821418762,False,2.252160618624503,-1.0,58.964609964812276,0.33211428571437107,51.04985816991812,4444.202810357966,3.2857142857142856,4.8077696431572186,9.800908003235245
31,ok,153.0776731967926,False,2.5364625163257566,-1.0,61.317488064799846,0.36602857142869827,43.69437066455543,3926.3686130049314,2.914285714285714,4.630320539656261,9.966107984073457
32,ok,98.22885179519653,False,1.9580823472701385,18.74899999999993,122.22345074539173,0.3142758620689628,68.11212711671946,6584.745228653417,3.43859649122807,4.541487417987057,9.468028033152223
33,ok,50.41026258468628,False,1.5203697909267782,10.596999999999566,140.09063366512535,0.24164285714284683,60.75467563859586,5155.659124871938,3.317073170731707,4.117987345466398,9.182244003750366
34,ok,2623.415955066681,False,2.3972320167188133,-1.0,57.359328442699315,0.3576714285715452,44.144186070777515,3930.8972445138083,2.9714285714285715,4.4329048457606195,10.992143996991219
35,ok,125.61889719963074,False,2.345190481653355,-1.0,61.37502616777912,0.3334714285715156,50.715305149580885,5110.684636179103,2.9714285714285715,4.15782419533682,9.328252016566696
36,ok,157.03810811042786,False,2.4787460144588396,-1.0,58.609421652607935,0.35792857142868834,46.000932993796525,4601.221342878347,3.342857142857143,4.895669852411988,12.041556956246486
37,ok,37.15834403038025,False,2.3002958097677184,22.964000000005083,92.7528672471915,0.320028571428642,43.7112586851071,3799.3863115460226,3.142857142857143,1.3701416348968605,5.394924985012037
38,ok,31.790737867355347,False,2.2137379880956543,22.66000000000471,100.95137878845651,0.33362121212127993,57.43005876378733,5223.014091268035,3.106060606060606,1.182635061780179,2.4291870213346556
39,ok,43.481881856918335,False,2.2753729508390395,-1.0,50.81101365808101,0.3471000000001037,43.62541542653581,3924.0487239190534,2.914285714285714,1.3504862466944902,2.8550420282408595
40,ok,126.00013852119446,False,1.9422000087263231,-1.0,53.958880743044006,0.32370000000007504,47.02649584116174,5780.465842754551,3.442857142857143,4.245513496903245,10.194375034188855
41,ok,66.00960183143616,False,1.1888352098642536,12.164999999998697,109.06373226066226,0.320805555555522,44.30180418542878,3922.0534842958186,2.75,4.631777722711962,11.015932040754711
42,ok,152.48018312454224,False,2.4487408495318306,26.736000000009692,88.66782618800801,0.3546000000001129,48.16505584806963,3928.046338796593,3.085714285714286,4.932135416572467,10.668144994997427
43,ok,135.38459157943726,False,2.201635485581146,-1.0,53.174509665856064,0.3428857142858128,47.86354909957458,3917.2275392603883,3.1285714285714286,4.333167145404329,10.41919202776626
44,ok,25.36430311203003,False,0.2711339538596376,7.465000000000828,147.71551508623952,0.3303809523809905,43.66142513369546,3923.8818896317744,3.1,2.884506483895084,8.706051972694691
45,ok,137.70330476760864,False,2.433464330084506,26.321000000009185,89.90675101479614,0.3597857142858335,47.297639268114544,3927.0933778978742,2.8857142857142857,4.532424429208944,9.628100029658523
46,ok,136.75716948509216,False,2.454162598404867,-1.0,53.37537107264861,0.34032857142866685,46.24456404899305,3922.040674403955,3.2857142857142856,4.4340996262366055,9.697064972715454
47,ok,76.49135851860046,False,2.038373106793217,15.349999999996932,111.74275146601855,0.29733999999993904,41.7710476433786,3765.118928443738,2.857142857142857,4.303064677312194,9.683163983281704
48,ok,129.7914524078369,False,2.23601696654516,-1.0,57.40732053767728,0.3443857142858146,53.41789934295248,4496.0740739231205,3.1142857142857143,4.157769838200264,9.260154994553893
49,ok,105.18354368209839,False,2.179874007855543,-1.0,54.909522345987405,0.34140000000009674,43.75175341356442,5110.610877839162,3.1142857142857143,3.3793458260152947,9.568908012006444
