seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99
0,ok,43.81995868682861,True,3.4158464366789367,-1.0,50.60862933073695,0.31918571428578385,52.00833330103266,5663.2285222083665,3.5714285714285716,1.4652691656635606,2.9953099903650586
1,ok,49.791666746139526,True,3.49554422009583,-1.0,54.41182035019553,0.3387571428572363,49.6926491974217,4910.360193964575,3.342857142857143,1.5856157650373561,3.350775995641015
2,ok,48.656492471694946,True,3.164808682687775,-1.0,57.17747375528417,0.3315285714286561,48.76908065180263,4070.384534700436,3.442857142857143,1.5833011278939952,3.234822009690109
3,ok,18.542227506637573,False,1.336247346464021,9.648000000000092,125.24623772122904,0.3247142857142911,81.32491000181024,4936.281732929912,2.7142857142857144,1.5861589038002928,3.1800009997095926
4,ok,34.0954487323761,False,2.6981845038463437,18.310999999999396,90.52465048639584,0.3297037037036731,87.92284400671873,4285.762932272883,3.2830188679245285,1.5678463437020045,3.2323799910955135
5,ok,49.051973819732666,True,3.6407872290097862,-1.0,56.50649056427065,0.3338000000000874,43.29474712001788,4228.354431069349,3.357142857142857,1.5883784290703693,3.258715965785087
6,ok,47.39110493659973,True,3.365426952476453,-1.0,51.911887071145344,0.32390000000007535,50.02427396016761,4069.153172099068,3.5428571428571427,1.5633064441565188,3.3577679673908314
7,ok,49.497594594955444,True,3.4577875705734753,-1.0,52.46425395041108,0.32221428571435895,49.38061735718992,4553.8746654103215,3.3142857142857145,1.6529775545948238,3.5086989996489137
8,ok,45.85943961143494,False,3.4919295307272287,24.306000000006723,90.92396152637718,0.3360714285715188,46.52778080154816,4070.6129466216353,3.142857142857143,1.600139566567402,3.3145399793284023
9,ok,47.65756940841675,True,3.3322719267244056,-1.0,51.546479970598774,0.3316857142857991,52.84832705050405,4581.233652028951,3.2285714285714286,1.5402019989165818,3.1874719983898103
10,ok,45.87944793701172,True,3.203146402449499,-1.0,52.95783496642535,0.320185714285785,59.57206286301102,4993.8119966872555,3.242857142857143,1.5315586437356632,3.1939249893184747
11,ok,48.26723885536194,True,3.4239515061774464,-1.0,51.86082427033858,0.32761428571436557,46.83205742129344,4472.908954579369,3.3714285714285714,1.5827367286436222,3.2472619879990843
12,ok,50.39546847343445,True,3.5765013968814716,-1.0,48.96506540377817,0.33142857142865595,50.282427929130044,3876.1175597836873,3.4857142857142858,1.6395806861099167,3.4697580209467582
13,ok,48.71862721443176,True,3.5943752447963813,-1.0,51.52858719050119,0.3332000000000867,48.448021304759784,3961.2109121984836,3.442857142857143,1.5697345060876613,3.2746200042311098
