seed,status,wall_s,success_func,success_strict,done,upright,box_held,dist,com_rmse_mm,ee_rmse_mm,ee_pic_mm,grf_pic,ctrl_mean,ctrl_p99
0,ok,157.24910426139832,True,True,True,True,True,3.0649364855891896,35.418472855161546,18.606418519756904,33.12425354029895,3978.2480958323404,1.7118189472729946,4.583150017424487
1,ok,157.76829552650452,True,True,True,True,True,3.0655964999471763,35.41481054832699,18.684539403294686,36.61940099469936,4365.325483383578,1.7287694505300168,4.4461639877408725
2,ok,165.26598024368286,False,False,True,False,True,3.173112438480589,48.92966247458109,19.877169628620216,79.62300259948019,9949.84679148992,1.8791842818120963,5.4781040037050825
3,ok,10.953870058059692,False,False,False,False,True,-0.428475881014564,222.6263286099582,157.26861158334856,432.00087532640447,8122.150600919681,4.239534197570874,8.854699003277345
4,ok,12.742861032485962,False,False,False,False,False,-0.39384592119191963,170.91008509635537,203.2629143466013,673.0822437870553,9300.571714078547,2.969472842188529,6.856205018702894
5,ok,169.3388421535492,True,True,True,True,True,3.0786632546716164,35.65992507559453,18.69262260087417,38.87042155246756,9334.022307422227,1.824836376014475,4.952903995290397
6,ok,8.545150995254517,False,False,False,False,True,-0.42389607976383953,207.74248800818515,120.47607683064011,226.92304689637527,8561.946975577932,3.830423593137713,7.706492959987373
7,ok,33.103198289871216,False,False,False,False,True,-0.148568668703704,111.99086802338051,59.727121694066305,285.7613871649587,9785.193482229603,2.321014702625536,6.13588797859848
8,ok,11.455266952514648,False,False,False,False,True,-0.5379081134434359,219.6758455735838,102.03737841659512,213.87887136300728,5739.895103123525,3.6633496772875302,7.2622350009623915
9,ok,159.8246419429779,True,True,True,True,True,3.0727496777345045,35.606569156865724,18.69168220180554,38.285348745242395,7724.254407612426,1.747169216571643,4.597828996484169
10,ok,167.7962028980255,True,True,True,True,True,3.0652558053048122,35.61027954512264,18.682933631883735,35.60538722629582,4328.585525701258,1.8321118417269675,4.916033005574717
11,ok,157.10821628570557,True,True,True,True,True,3.065984119773271,35.866754600919016,18.840894663360743,39.571658543577826,6400.98615341414,1.7072698789113572,4.188785997685045
12,ok,154.35505151748657,False,False,True,False,True,3.1014784417888874,48.30062643454437,21.611572521417944,212.09418614218907,11197.316594866272,1.7608041684323563,4.548129998147487
13,ok,167.70836067199707,True,True,True,True,True,3.0828821441558976,35.87734717985219,18.977299760197763,40.701827209448574,7930.18253063942,1.810661691714492,5.13040000165347
14,ok,178.53226804733276,True,True,True,True,True,3.0641628868090423,35.47424208435402,18.670098242916648,36.37127482597436,5180.512590072145,1.9484583908014388,5.161760014016182
15,ok,155.57182359695435,False,False,False,False,False,3.038947886250948,50.90483896446595,25.67210523729666,350.3747526283648,19346.986956286637,1.7932611968743293,4.697963033104318
16,ok,30.662646293640137,False,False,False,False,True,0.15983347534856512,141.30466502089544,101.32305489135726,643.6038316674864,8521.279324768762,2.2003632256374916,5.8178040408529474
17,ok,26.8093159198761,False,False,False,False,True,-0.12472423868831567,102.26873735107719,47.88022112664439,286.6323470055736,7309.904734157328,1.9720643899397095,6.046824040240608
18,ok,144.9621078968048,True,True,True,True,True,3.0661541442850133,35.634623738102825,18.651941024349053,34.704963282074246,7569.5039715351995,1.57431337215205,3.577998003456734
19,ok,28.452245473861694,False,False,False,False,True,-0.19302738692463317,110.48068974954117,48.087607870106126,230.36840376605934,5895.790081663891,1.9463290170912835,5.136299994774166
