seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99
0,ok,35.50320649147034,False,2.286178350751988,-1.0,67.28170508539955,0.33072857142865514,41.11085337975638,4782.9273973669715,3.1142857142857143,1.1436223579032048,2.3958060221048068
1,ok,34.29575252532959,False,2.303157182243623,23.637000000005905,97.21170363274089,0.3170000000000669,52.71596374579582,4801.346799523037,3.085714285714286,1.2280073571954058,2.5566559890285117
2,ok,40.606268882751465,False,2.514794141139239,-1.0,57.17897705554493,0.33554285714294674,52.885895388443345,4869.3626082483315,2.8,1.2974023340757515,2.8198659932240844
3,ok,38.513561725616455,False,1.6966598688383328,24.19000000000658,94.6899092790992,0.31884285714292626,59.00185051174176,4308.9378399686075,2.9285714285714284,1.354834042977905,2.8030219877837226
4,ok,31.33503818511963,False,2.0644861496241598,19.368000000000688,110.7356360805057,0.29260937500000705,46.59848424136809,4342.150474841515,3.0,1.361018690603367,2.8796630218857877
5,ok,8.529571294784546,False,0.5237614577405126,5.810000000000275,160.86903736183666,0.2896666666666792,47.934088908247055,3931.716486619324,3.0,1.1774201374384774,2.3896189767401665
6,ok,19.350271940231323,False,1.204338349212991,12.973999999998249,125.4893356539675,0.2895348837208905,50.08574198644356,4191.742128737413,3.0952380952380953,1.246104833005207,2.723752959864216
7,ok,29.900563716888428,False,2.645952980597553,20.77700000000241,101.45698282376492,0.3068636363636714,48.138464253440866,4010.9444915405306,2.769230769230769,1.2113284738694021,2.555731975007805
8,ok,37.597784996032715,False,1.7685492499302948,25.142000000007744,88.85676416364501,0.33582857142866135,57.82362226286507,4336.503301970293,3.0428571428571427,1.2708986555341535,2.8653259901329875
9,ok,45.03856682777405,False,2.410852430439157,-1.0,65.41992989355403,0.3382571428572357,40.45828581738177,4412.046898744304,2.8142857142857145,1.4355546330416602,3.8137280079536096
10,ok,46.40240502357483,False,1.9834094107969358,26.752000000009712,86.59586953285702,0.3462571428572455,48.58596559995679,4777.15741828032,3.085714285714286,1.477111576555195,3.1756660249084163
11,ok,35.11715841293335,False,1.3950300218703284,21.347000000003106,106.60457897150748,0.3358387096774679,51.11688245331046,4244.079794318889,2.819672131147541,1.3882645994002547,2.963361979927868
12,ok,27.03537368774414,False,0.8369364142470114,15.918999999996617,126.1667894931121,0.31662499999993265,45.10951700477471,4378.928236085292,2.875,1.4295596330353446,3.075175968697293
13,ok,41.165207386016846,False,2.298392625499244,-1.0,57.422858004793454,0.33111428571436985,48.579727036724314,5190.633557684915,2.9285714285714284,1.3323139981455816,2.8881799895316353
14,ok,40.354310035705566,False,1.6313597068951744,24.54100000000701,81.86685899392269,0.3205000000000712,53.65777628225502,5812.5126925675595,3.0,1.3991006399648251,2.8594400035217356
15,ok,31.50254225730896,False,1.3375444405948678,21.352000000003112,116.96663332536453,0.33717741935488893,48.0104556598759,4534.417828686702,2.8360655737704916,1.2443838564226015,2.63833297940437
16,ok,37.078383922576904,False,1.8214935216559196,-1.0,55.30830398750286,0.32154285714292963,54.507909384136696,4540.433145153045,3.1,1.2273835198285303,2.6226900052279176
17,ok,9215.613530158997,False,2.2140122039494514,-1.0,56.281053800993355,0.325885714285792,57.623809955742466,4299.268688419217,3.4,357.42226566223127,3.645066024037074
18,ok,37.765623569488525,False,2.140785779689087,-1.0,57.94158847231524,0.32957142857151084,52.743618740253865,4364.224423629925,2.857142857142857,1.227887619827252,2.682063991669566
19,ok,17.987950325012207,False,1.1333863433933478,12.777999999998357,117.83644945794454,0.2977317073170348,68.45966208703173,4082.3812842256343,3.097560975609756,1.1743190876574638,2.269137990660965
20,ok,28.94654393196106,False,2.0856552946914384,20.698000000002313,102.16627073286949,0.34584482758624274,45.2319675148962,4403.549376215065,2.9655172413793105,1.1763965988267178,2.408518002484924
21,ok,9.265404462814331,False,0.4220012166777232,5.912000000000309,167.76439791626487,0.27915789473685554,64.869896558595,3895.1963523500594,3.1052631578947367,1.2650769960246437,2.5208799866959457
22,ok,20.18103551864624,False,1.3258643699040171,12.77299999999836,125.6993552497667,0.32821621621617464,56.81912732540766,3933.5025206856776,2.72972972972973,1.314382807530177,2.812491995282474
23,ok,37.03086495399475,False,2.041626858161003,22.907000000005013,95.08369602357251,0.3158714285714941,56.7857509118505,4330.675650172422,3.1,1.3603910243759254,2.829444011440497
24,ok,25.73285746574402,False,1.7399898914811762,16.04899999999663,109.70238201446286,0.2778928571427961,54.042110771630604,4263.33017521198,2.7454545454545456,1.3464374041544105,2.6563519705086946
25,ok,32.6807165145874,False,2.0955097984309297,20.911000000002574,97.42792406464022,0.2991029411765062,52.19722384791885,4564.184102576276,2.7205882352941178,1.3193225333610803,2.6881000318098813
26,ok,31.370210886001587,False,2.0388697261478423,20.86800000000252,105.24994471756213,0.30743939393942976,53.98070533822257,5041.560030861645,3.1666666666666665,1.2617148361972796,2.5284660252509634
27,ok,26.112720251083374,False,1.6226058295322856,17.403999999998288,112.56765649761974,0.3157547169810946,50.71858206993067,4417.638214175422,2.943396226415094,1.2592262241563312,2.60309097240679
28,ok,43.02719283103943,False,1.4585771880583958,25.526000000008214,85.61574596959586,0.32807142857150895,45.586024097489585,4705.696307625026,2.9714285714285715,1.4391113256587829,3.2110000029206276
29,ok,32.184041261672974,False,1.1798850371457141,22.2430000000042,116.78857199611282,0.3439841269841913,54.84188692310626,4943.702350983799,2.9206349206349205,1.216120352542103,2.4552880111150377
30,ok,36.68104124069214,False,2.401665066199335,-1.0,61.69252550714265,0.3208714285715002,61.4493981815986,4217.107017394739,3.3142857142857145,1.223896926188973,2.712429990060628
31,ok,38.28843688964844,False,2.531699441845719,-1.0,65.7379291879405,0.35801428571440275,45.457623228951576,4195.16854024336,2.7714285714285714,1.1540337546352106,2.44923701917287
32,ok,37.171854972839355,False,2.307762343143566,-1.0,67.18133733830832,0.34032857142866685,49.8436514556932,4767.154734642925,3.2142857142857144,1.1713794284441212,2.4544860050082216
33,ok,37.897828102111816,False,2.6434475956003,-1.0,67.36758320126133,0.35392857142868345,46.670272522542625,4316.915200334995,3.3,1.1525944446437422,2.447658011224121
34,ok,31.294143438339233,False,2.076655383519328,21.959000000003854,90.59444270118922,0.3036714285714792,58.623090484145294,4671.266586673758,3.242857142857143,1.2007887606605772,2.488899976015091
35,ok,41.905272483825684,False,2.417185832075445,-1.0,63.55566492111904,0.3412142857143822,44.9792599520571,4308.7343450318485,2.942857142857143,1.324927642351658,2.8259830217575646
36,ok,45.184934854507446,False,2.3959963629394543,-1.0,60.90950412052451,0.33728571428580595,49.92536408432955,5423.513996009908,3.242857142857143,1.436336687205353,3.7673959904350327
37,ok,37.2045783996582,False,1.9977110217213785,22.492000000004506,107.30505848421183,0.3098000000000581,54.32703746960182,4101.586648263407,2.8,1.3911596389613925,2.757253982126713
